DATE,AUTLORSGPNOSTSAM
1976-03-01,98.359220621691
1976-04-01,98.5995745906442
1976-05-01,98.9164925814083
1976-06-01,99.2838860104463
1976-07-01,99.6630648317399
1976-08-01,100.012973195651
1976-09-01,100.29970256107
1976-10-01,100.508190328098
1976-11-01,100.637225256902
1976-12-01,100.699869959616
1977-01-01,100.729428883767
1977-02-01,100.762262655259
1977-03-01,100.823100133149
1977-04-01,100.910257022995
1977-05-01,101.008737369463
1977-06-01,101.101412443667
1977-07-01,101.179414291475
1977-08-01,101.226616567142
1977-09-01,101.205256220346
1977-10-01,101.044057509877
1977-11-01,100.679871214074
1977-12-01,100.108821025545
1978-01-01,99.4492625826377
1978-02-01,98.8578995167708
1978-03-01,98.4545752582926
1978-04-01,98.2447312048459
1978-05-01,98.1796876125307
1978-06-01,98.2004621250119
1978-07-01,98.2705451789271
1978-08-01,98.3747749241366
1978-09-01,98.5149860053965
1978-10-01,98.7033590897071
1978-11-01,98.9535446361886
1978-12-01,99.2683198733546
1979-01-01,99.6226171095234
1979-02-01,99.980940162142
1979-03-01,100.312054201729
1979-04-01,100.603583434056
1979-05-01,100.855270169781
1979-06-01,101.074992974225
1979-07-01,101.277625396554
1979-08-01,101.476721816515
1979-09-01,101.677479847356
1979-10-01,101.870022755252
1979-11-01,102.033756497012
1979-12-01,102.142471571823
1980-01-01,102.171704359434
1980-02-01,102.104318239462
1980-03-01,101.941849549733
1980-04-01,101.722602952901
1980-05-01,101.494978320524
1980-06-01,101.295280275363
1980-07-01,101.126667301603
1980-08-01,100.974670609412
1980-09-01,100.820431064701
1980-10-01,100.652779404653
1980-11-01,100.469394655683
1980-12-01,100.27906241352
1981-01-01,100.105174562235
1981-02-01,99.9719641660392
1981-03-01,99.8898539223758
1981-04-01,99.8380604214195
1981-05-01,99.784222064129
1981-06-01,99.7017850561506
1981-07-01,99.5875412968503
1981-08-01,99.4557657939206
1981-09-01,99.3346836877302
1981-10-01,99.2643108915164
1981-11-01,99.2803894722203
1981-12-01,99.3948674725978
1982-01-01,99.569953857148
1982-02-01,99.7478945335352
1982-03-01,99.8763376418499
1982-04-01,99.9337004794162
1982-05-01,99.917600554963
1982-06-01,99.8381920027252
1982-07-01,99.7166404895049
1982-08-01,99.5794843075799
1982-09-01,99.4560703390288
1982-10-01,99.3772051525452
1982-11-01,99.3703823253269
1982-12-01,99.4518922198022
1983-01-01,99.6136778865206
1983-02-01,99.836611793502
1983-03-01,100.097827387059
1983-04-01,100.373604576121
1983-05-01,100.642100910656
1983-06-01,100.885016421613
1983-07-01,101.08973665236
1983-08-01,101.242297125228
1983-09-01,101.322987406924
1983-10-01,101.305673201161
1983-11-01,101.166704697146
1983-12-01,100.900736592442
1984-01-01,100.544727254607
1984-02-01,100.154308130529
1984-03-01,99.7867447166346
1984-04-01,99.4868348694199
1984-05-01,99.2865617299622
1984-06-01,99.199923298193
1984-07-01,99.2104287822823
1984-08-01,99.288702416707
1984-09-01,99.4027353576539
1984-10-01,99.5231559854388
1984-11-01,99.6268012950378
1984-12-01,99.6997454528499
